PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Ktn1,Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin,A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE,";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",;;;;;;microtubule-based movement;;;;,;;;;;;kinesin binding;;;;,1.2150991321529054E-18,4,7,1,7,5,6,9,6,4,7,1,7,5,6,9,6,6.237590312957764,5.869320392608643,1.0191890001296997,5.374678134918213,0.9177241325378418,6.212275505065918,8.801271438598633,4.226640224456787
Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2,CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9Q8N5_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;F7DCH5_MOUSE;J3QP81_MOUSE;Q08EB6_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE;CLAP2_MOUSE,";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle",";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding",6.3013432372998294E-24,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,17.204557418823242,26.205535888671875,18.306392669677734,49.268287658691406,24.352523803710938,14.4047269821167,31.203828811645508,13.740883827209473
Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,";;external side of plasma membrane,anchored component of membrane",;;,;;,1.5444819728511405E-34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,204.15647888183594,244.2495880126953,153.5513916015625,99.9808120727539,88.57685089111328,132.9381103515625,111.84857177734375,126.78632354736328
Trip12,E3 ubiquitin-protein ligase TRIP12,A0A087WNZ7;G5E870,A0A087WNZ7_MOUSE;TRIPC_MOUSE,";nucleus,nucleoplasm,cytoplasm,nuclear speck",";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",2.527902954438859E-44,2,6,2,4,2,3,7,6,2,6,2,4,2,3,7,6,1.257333517074585,7.1910858154296875,2.829812526702881,3.7048146724700928,2.3710439205169678,1.8411622047424316,7.5978899002075195,3.667212963104248
Plekha6,Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6,A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1,A0A087WP13_MOUSE;A0A087WRB7_MOUSE;E9PX43_MOUSE;PKHA6_MOUSE,;;;cellular_component,;;;biological_process,;;;molecular_function,9.535166733376925E-27,3,2,3,Filtered,3,3,3,2,3,2,3,Filtered,3,3,3,2,14.916427612304688,13.655158996582031,15.242509841918945,Filtered,12.1967134475708,9.793474197387695,4.169121742248535,7.2954230308532715
Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",A0A087WPT7;Q6P549,A0A087WPT7_MOUSE;SHIP2_MOUSE,";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding",3.189033296623261E-05,2,3,1,3,1,2,4,4,2,3,1,3,1,2,4,4,19.89020347595215,16.839479446411133,5.783024787902832,22.339797973632812,8.788642883300781,7.670597553253174,17.5079345703125,10.3141508102417
2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,7.106300616826934E-48,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,47.8182258605957,48.76171875,46.640953063964844,2.538735866546631,28.23689842224121,35.902408599853516,34.47502517700195,32.671348571777344
Bclaf1,Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3,A0A087WQA0_MOUSE;A0A087WRN1_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE,";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;DNA binding,RNA binding,protein binding;;",1.2768012969636997E-13,4,6,4,6,4,5,6,6,4,6,4,6,4,5,6,6,19.12449073791504,39.15593719482422,14.466514587402344,23.825000762939453,17.110088348388672,9.697615623474121,36.25997543334961,29.32331085205078
Tns1,Protein Tns1,A0A087WQS0,A0A087WQS0_MOUSE,,,,2.033925926280364E-44,52,54,54,44,55,51,57,54,52,54,54,44,55,51,57,54,239.80455017089844,315.95025634765625,239.56039428710938,114.03306579589844,231.7960205078125,222.21435546875,337.0478210449219,335.792236328125
Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",6.440708129714763E-17,8,10,10,10,9,6,9,10,8,10,10,10,9,6,9,10,84.0775375366211,199.44427490234375,85.50836181640625,193.04605102539062,89.79791259765625,52.52864456176758,196.9132537841797,156.01368713378906
Casp8,Caspase-8,A0A087WQT6;O89110,A0A087WQT6_MOUSE;CASP8_MOUSE,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",2.051346576077573E-12,3,9,5,5,5,5,8,7,3,9,5,5,5,5,8,7,4.13619327545166,5.088047027587891,3.098083734512329,10.147455215454102,4.237372398376465,4.75444221496582,7.580459117889404,8.540655136108398
Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE,"cellular_component;;;nucleus;cellular_component,nucleus","biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",7.762972158543459E-28,Filtered,3,Filtered,1,Filtered,1,3,Filtered,Filtered,3,Filtered,1,Filtered,0,3,Filtered,Filtered,6.326902866363525,Filtered,3.1095268726348877,Filtered,NaN,9.765803337097168,Filtered
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",4.229476857730945E-62,21,15,19,9,20,19,14,17,21,15,19,9,20,19,14,17,113.99967193603516,42.307743072509766,128.4564666748047,20.670228958129883,136.5863037109375,116.7154541015625,20.94301986694336,43.174102783203125
2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8;E9QM90;G3X9J4;Q148V7,A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE,;;;cellular_component,;;;biological_process,;;;molecular_function,5.2649566387872856E-23,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,5.14109468460083,4.440070152282715,5.0583176612854,3.046525478363037,3.543009042739868,4.828126430511475,7.109827995300293,2.7310853004455566
