Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Injured / Non-injured,P52503,P52503,-1.505686856,1.505686856,3.75E-12,1.57E-10,16,P52503,Ndufs6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUS6_MOUSE,9,-64.7837513,0.352162487,Injured,Non-injured,"mitochondrion,mitochondrial respiratory chain complex I",molecular_function,"mitochondrial electron transport, NADH to ubiquinone,fatty acid metabolic process,muscle contraction,multicellular organism aging,respiratory electron transport chain,multicellular organism growth,reproductive system development,mitochondrion morphogenesis,cardiovascular system development",
Injured / Non-injured,P58281-2,P58281-2,-1.236525085,1.236525085,3.34E-12,1.57E-10,16,P58281-2,Opa1,"Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial",OPA1_MOUSE,32,-57.56063678,0.424393632,Injured,Non-injured,,,,
Injured / Non-injured,Q3ULD5,Q3ULD5,-1.614066862,1.614066862,3.77E-12,1.57E-10,16,Q3ULD5,Mccc2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCB_MOUSE,30,-67.33238268,0.326676173,Injured,Non-injured,"mitochondrion,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","ATP binding,methylcrotonoyl-CoA carboxylase activity","leucine catabolic process,coenzyme A metabolic process",
Injured / Non-injured,Q71RI9;Q71RI9-2,Q71RI9;Q71RI9-2,-2.452361619,2.452361619,5.03E-12,1.91E-10,16,Q71RI9;Q71RI9-2,Kyat3,Kynurenine--oxoglutarate transaminase 3;Isoform 2 of Kynurenine--oxoglutarate transaminase 3,KAT3_MOUSE,18,-81.72886223,0.182711378,Injured,Non-injured,mitochondrion;,"RNA binding,kynurenine-oxoglutarate transaminase activity,pyridoxal phosphate binding,protein homodimerization activity,kynurenine-glyoxylate transaminase activity,cysteine-S-conjugate beta-lyase activity;","2-oxoglutarate metabolic process,cellular amino acid metabolic process,biosynthetic process,kynurenine metabolic process,L-kynurenine metabolic process;",
Injured / Non-injured,P47911,P47911,0.681215385,0.681215385,5.85E-12,2.07E-10,16,P47911,Rpl6,60S ribosomal protein L6,RL6_MOUSE,14,60.34900318,1.603490032,Injured,Non-injured,"nucleus,nucleolus,cytoplasm,focal adhesion,membrane,cytosolic large ribosomal subunit,cytoplasmic ribonucleoprotein granule","RNA binding,structural constituent of ribosome,cadherin binding","ribosomal large subunit assembly,cytoplasmic translation",
Injured / Non-injured,Q8BMS1,Q8BMS1,-1.140649669,1.140649669,7.74E-12,2.17E-10,16,Q8BMS1,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial",ECHA_MOUSE,40,-54.64447115,0.453555288,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,mitochondrial fatty acid beta-oxidation multienzyme complex,extracellular matrix,mitochondrial nucleoid","fatty-acyl-CoA binding,acetyl-CoA C-acyltransferase activity,enoyl-CoA hydratase activity,long-chain-enoyl-CoA hydratase activity,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,protein complex binding,NAD binding","fatty acid beta-oxidation,response to insulin,response to drug",TRUE
Injured / Non-injured,Q91WT7,Q91WT7,-2.940532128,2.940532128,7.64E-12,2.17E-10,16,Q91WT7,Akr1c14,3-alpha-hydroxysteroid dehydrogenase type 1,Q91WT7_MOUSE,19,-86.97398343,0.130260166,Injured,Non-injured,cellular_component,androsterone dehydrogenase activity,"hippocampus development,oxidation-reduction process",
Injured / Non-injured,Q9D0S9,Q9D0S9,-1.539715454,1.539715454,7.23E-12,2.17E-10,16,Q9D0S9,Hint2,"Histidine triad nucleotide-binding protein 2, mitochondrial",HINT2_MOUSE,5,-65.60467135,0.343953286,Injured,Non-injured,"nucleolus,mitochondrion","nucleotide binding,hydrolase activity","steroid biosynthetic process,apoptotic process,multicellular organism lipid catabolic process,negative regulation of peptidyl-lysine acetylation",
Injured / Non-injured,Q9D6R2,Q9D6R2,-1.414135194,1.414135194,7.26E-12,2.17E-10,16,Q9D6R2,Idh3a,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A_MOUSE,18,-62.47653903,0.37523461,Injured,Non-injured,"nucleus,mitochondrion,myelin sheath","magnesium ion binding,isocitrate dehydrogenase (NAD+) activity,NAD binding",tricarboxylic acid cycle,
Injured / Non-injured,Q80XN0,Q80XN0,-2.213624029,2.213624029,8.77E-12,2.25E-10,16,Q80XN0,Bdh1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH_MOUSE,15,-78.44079371,0.215592063,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,matrix side of mitochondrial inner membrane",3-hydroxybutyrate dehydrogenase activity,oxidation-reduction process,
Injured / Non-injured,Q91VT4,Q91VT4,-1.632060236,1.632060236,8.90E-12,2.25E-10,16,Q91VT4,Cbr4,Carbonyl reductase family member 4,CBR4_MOUSE,8,-67.73728481,0.322627152,Injured,Non-injured,"mitochondrion,mitochondrial matrix,oxidoreductase complex","NAD(P)H dehydrogenase (quinone) activity,NADPH dehydrogenase (quinone) activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,quinone binding,NADPH binding","fatty acid biosynthetic process,daunorubicin metabolic process,doxorubicin metabolic process,protein homotetramerization,protein heterotetramerization,oxidation-reduction process",
Injured / Non-injured,Q8C5H8;Q8C5H8-2;Q8C5H8-3;Q8C5H8-4;Z4YK42,Q8C5H8;Q8C5H8-2;Q8C5H8-3;Q8C5H8-4;Z4YK42,-1.866951129,1.866951129,1.05E-11,2.53E-10,16,Q8C5H8;Q8C5H8-2;Q8C5H8-3;Q8C5H8-4;Z4YK42,Nadk2,"NAD kinase 2, mitochondrial;Isoform 2 of NAD kinase 2, mitochondrial;Isoform 3 of NAD kinase 2, mitochondrial;Isoform 4 of NAD kinase 2, mitochondrial;NAD kinase 2, mitochondrial",NAKD2_MOUSE;NAKD2_MOUSE;NAKD2_MOUSE;NAKD2_MOUSE;Z4YK42_MOUSE,13,-72.58478161,0.274152184,Injured,Non-injured,mitochondrion;;;;,"NAD+ kinase activity,ATP binding,protein homodimerization activity;;;;","NADP biosynthetic process,phosphorylation,NAD metabolic process;;;;",TRUE
Injured / Non-injured,A2ATU0,A2ATU0,-1.98830664,1.98830664,1.27E-11,2.95E-10,16,A2ATU0,Dhtkd1,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",DHTK1_MOUSE,23,-74.7965461,0.252034539,Injured,Non-injured,"mitochondrion,oxoglutarate dehydrogenase complex,cytosol","oxoglutarate dehydrogenase (succinyl-transferring) activity,thiamine pyrophosphate binding","hematopoietic progenitor cell differentiation,generation of precursor metabolites and energy,glycolytic process,tricarboxylic acid cycle",
Injured / Non-injured,A0A0R4J0P1;Q9D7B6,A0A0R4J0P1;Q9D7B6,-1.606275134,1.606275134,1.41E-11,3.00E-10,16,A0A0R4J0P1;Q9D7B6,Acad8,"Acyl-Coenzyme A dehydrogenase family, member 8;Isobutyryl-CoA dehydrogenase, mitochondrial",A0A0R4J0P1_MOUSE;ACAD8_MOUSE,23,-67.15547365,0.328445264,Injured,Non-injured,;mitochondrion,";acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",";valine catabolic process,lipid metabolic process,oxidation-reduction process",
Injured / Non-injured,P43024;Q9DCW5,P43024;Q9DCW5,-1.987964742,1.987964742,1.38E-11,3.00E-10,16,P43024;Q9DCW5,Cox6a1,"Cytochrome c oxidase subunit 6A1, mitochondrial;Cytochrome c oxidase subunit 6A, mitochondrial",CX6A1_MOUSE;Q9DCW5_MOUSE,4,-74.79057254,0.252094275,Injured,Non-injured,"mitochondrion,mitochondrial respiratory chain complex IV,myelin sheath;","enzyme regulator activity,cytochrome-c oxidase activity;","mitochondrial electron transport, cytochrome c to oxygen,aerobic respiration,regulation of catalytic activity,hydrogen ion transmembrane transport;",
Injured / Non-injured,Q9Z1P6,Q9Z1P6,-1.766627589,1.766627589,1.64E-11,3.36E-10,16,Q9Z1P6,Ndufa7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUA7_MOUSE,9,-70.61050629,0.293894937,Injured,Non-injured,"mitochondrion,mitochondrial respiratory chain complex I,mitochondrial ribosome","structural constituent of ribosome,NADH dehydrogenase (ubiquinone) activity","mitochondrial electron transport, NADH to ubiquinone,mitochondrial translation",
Injured / Non-injured,O70250,O70250,-1.553021909,1.553021909,2.98E-11,5.29E-10,16,O70250,Pgam2,Phosphoglycerate mutase 2,PGAM2_MOUSE,15,-65.92045237,0.340795476,Injured,Non-injured,"nucleus,cytosol,extracellular exosome","bisphosphoglycerate mutase activity,phosphoglycerate mutase activity,protein binding,hydrolase activity,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity,cofactor binding","gluconeogenesis,glycolytic process,striated muscle contraction,Notch signaling pathway,spermatogenesis,regulation of pentose-phosphate shunt,response to mercury ion",
Injured / Non-injured,P32020;P32020-2,P32020;P32020-2,-2.004482277,2.004482277,2.87E-11,5.29E-10,16,P32020;P32020-2,Scp2,Non-specific lipid-transfer protein;Isoform SCP2 of Non-specific lipid-transfer protein,NLTP_MOUSE,16,-75.07755141,0.249224486,Injured,Non-injured,"nucleoplasm,mitochondrion,peroxisome,membrane,intracellular membrane-bounded organelle,protein complex,extracellular exosome;","fatty-acyl-CoA binding,receptor binding,protein binding,phosphatidylinositol transporter activity,sterol transporter activity,cholesterol binding,sterol binding,propanoyl-CoA C-acyltransferase activity,long-chain fatty acyl-CoA binding,propionyl-CoA C2-trimethyltridecanoyltransferase activity,oleic acid binding;","acyl-CoA metabolic process,steroid biosynthetic process,progesterone biosynthetic process,peroxisome organization,phospholipid transport,cholesterol transport,positive regulation of intracellular cholesterol transport,inositol trisphosphate biosynthetic process,positive regulation of steroid metabolic process,protein localization to plasma membrane,lipid hydroperoxide transport;",
Injured / Non-injured,Q60597,Q60597,-1.155744738,1.155744738,2.98E-11,5.29E-10,16,Q60597,Ogdh,"2-oxoglutarate dehydrogenase, mitochondrial",ODO1_MOUSE,65,-55.11655675,0.448834432,Injured,Non-injured,"mitochondrion,mitochondrial matrix,mitochondrial membrane,oxoglutarate dehydrogenase complex,cytosol","oxoglutarate dehydrogenase (succinyl-transferring) activity,thiamine pyrophosphate binding,heat shock protein binding,oxoglutarate dehydrogenase (NAD+) activity,metal ion binding,chaperone binding","generation of precursor metabolites and energy,glycolytic process,tricarboxylic acid cycle,2-oxoglutarate metabolic process,succinyl-CoA metabolic process,NADH metabolic process,cerebellar cortex development,striatum development,hippocampus development,thalamus development,pyramidal neuron development,tangential migration from the subventricular zone to the olfactory bulb,olfactory bulb mitral cell layer development",
Injured / Non-injured,Q62167,Q62167,0.806904304,0.806904304,3.18E-11,5.29E-10,16,Q62167,Ddx3x,ATP-dependent RNA helicase DDX3X,DDX3X_MOUSE,32,74.94534827,1.749453483,Injured,Non-injured,"nucleus,nucleolus,cytoplasm,mitochondrial outer membrane,cytosol,cytoplasmic stress granule,nuclear speck,cytoplasmic ribonucleoprotein granule,extracellular exosome,eukaryotic translation initiation factor 3 complex,cytosolic small ribosomal subunit","DNA binding,RNA binding,GTPase activity,ATP-dependent DNA helicase activity,ATP-dependent RNA helicase activity,protein binding,ATP binding,transcription factor binding,poly(A) binding,eukaryotic initiation factor 4E binding,ATPase activity,nucleoside-triphosphatase activity,translation initiation factor binding,RNA strand annealing activity,RNA stem-loop binding,ribosomal small subunit binding,CTPase activity,protein serine/threonine kinase activator activity,cadherin binding,mRNA 5'-UTR binding","transcription, DNA-templated,translational initiation,chromosome segregation,extrinsic apoptotic signaling pathway via death domain receptors,response to virus,regulation of gene expression,RNA secondary structure unwinding,positive regulation of gene expression,Wnt signaling pathway,negative regulation of translation,positive regulation of cell growth,negative regulation of cell growth,negative regulation of protein complex assembly,DNA duplex unwinding,stress granule assembly,intracellular signal transduction,mature ribosome assembly,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of viral genome replication,innate immune response,positive regulation of translation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of translational initiation,cellular response to arsenic-containing substance,cellular response to osmotic stress,positive regulation of protein serine/threonine kinase activity,positive regulation of canonical Wnt signaling pathway,intrinsic apoptotic signaling pathway,positive regulation of G1/S transition of mitotic cell cycle,protein localization to cytoplasmic stress granule,negative regulation of intrinsic apoptotic signaling pathway",
Injured / Non-injured,Q8CHT0,Q8CHT0,-1.896582523,1.896582523,2.91E-11,5.29E-10,16,Q8CHT0,Aldh4a1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",AL4A1_MOUSE,25,-73.14211739,0.268578826,Injured,Non-injured,"mitochondrion,mitochondrial matrix","1-pyrroline-5-carboxylate dehydrogenase activity,aldehyde dehydrogenase (NAD) activity,identical protein binding","proline catabolic process to glutamate,oxidation-reduction process",
Injured / Non-injured,Q8R4N0,Q8R4N0,-1.756115946,1.756115946,3.10E-11,5.29E-10,16,Q8R4N0,Clybl,"Citrate lyase subunit beta-like protein, mitochondrial",CLYBL_MOUSE,21,-70.39558904,0.29604411,Injured,Non-injured,mitochondrion,"magnesium ion binding,malate synthase activity",,
Injured / Non-injured,P16460,P16460,-1.62591671,1.62591671,3.29E-11,5.30E-10,16,P16460,Ass1,Argininosuccinate synthase,ASSY_MOUSE,35,-67.59960536,0.324003946,Injured,Non-injured,"mitochondrion,cytosol,myelin sheath,extracellular exosome","RNA binding,argininosuccinate synthase activity,ATP binding,amino acid binding,identical protein binding","urea cycle,citrulline metabolic process,argininosuccinate metabolic process,arginine biosynthetic process,aspartate metabolic process,positive regulation of nitric oxide biosynthetic process,cellular response to laminar fluid shear stress,negative regulation of leukocyte cell-cell adhesion",
Injured / Non-injured,P08249,P08249,-1.047033159,1.047033159,3.64E-11,5.38E-10,16,P08249,Mdh2,"Malate dehydrogenase, mitochondrial",MDHM_MOUSE,23,-51.60376101,0.48396239,Injured,Non-injured,"nucleus,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,membrane,myelin sheath,extracellular exosome","RNA binding,malate dehydrogenase activity,L-malate dehydrogenase activity,protein homodimerization activity,protein self-association,malate dehydrogenase (NADP+) activity","carbohydrate metabolic process,tricarboxylic acid cycle,oxaloacetate metabolic process,malate metabolic process,internal protein amino acid acetylation,NADH metabolic process,aerobic respiration",
Injured / Non-injured,Q91X52,Q91X52,-1.50146012,1.50146012,3.61E-11,5.38E-10,16,Q91X52,Dcxr,L-xylulose reductase,DCXR_MOUSE,11,-64.6804252,0.353195748,Injured,Non-injured,"nucleus,cytoplasmic microtubule,microvillus,brush border,apical plasma membrane,extracellular exosome","oxidoreductase activity, acting on CH-OH group of donors,oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor,identical protein binding,L-xylulose reductase (NADP+) activity","xylulose metabolic process,glucose metabolic process,NADP metabolic process,D-xylose metabolic process,protein homotetramerization,oxidation-reduction process",
Injured / Non-injured,Q9EPL9,Q9EPL9,-1.668425924,1.668425924,3.46E-11,5.38E-10,16,Q9EPL9,Acox3,Peroxisomal acyl-coenzyme A oxidase 3,ACOX3_MOUSE,29,-68.54035979,0.314596402,Injured,Non-injured,"mitochondrion,peroxisome,peroxisomal matrix,membrane","acyl-CoA dehydrogenase activity,receptor binding,pristanoyl-CoA oxidase activity,flavin adenine dinucleotide binding,FAD binding","fatty acid beta-oxidation,fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acid beta-oxidation using acyl-CoA oxidase",TRUE
Injured / Non-injured,A0A0A0MQ68;Q60759,A0A0A0MQ68;Q60759,-1.545371053,1.545371053,4.58E-11,6.09E-10,16,A0A0A0MQ68;Q60759,Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68_MOUSE;GCDH_MOUSE,18,-65.73924268,0.342607573,Injured,Non-injured,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",
Injured / Non-injured,G3XA48;P58044,G3XA48;P58044,-1.962674959,1.962674959,4.36E-11,6.09E-10,16,G3XA48;P58044,Idi1,Isopentenyl-diphosphate Delta-isomerase 1,G3XA48_MOUSE;IDI1_MOUSE,11,-74.34476686,0.256552331,Injured,Non-injured,";mitochondrion,peroxisome",";magnesium ion binding,isopentenyl-diphosphate delta-isomerase activity,hydrolase activity,manganese ion binding",";cholesterol biosynthetic process,isoprenoid biosynthetic process,isopentenyl diphosphate biosynthetic process,response to stilbenoid,dimethylallyl diphosphate biosynthetic process",
Injured / Non-injured,Q64516-1,Q64516-1,-1.590008006,1.590008006,4.47E-11,6.09E-10,16,Q64516-1,Gk,Isoform 1 of Glycerol kinase,GLPK_MOUSE,30,-66.78303898,0.33216961,Injured,Non-injured,,,,
Injured / Non-injured,Q8CC88,Q8CC88,-1.701769517,1.701769517,4.36E-11,6.09E-10,16,Q8CC88,Vwa8,von Willebrand factor A domain-containing protein 8,VWA8_MOUSE,70,-69.25911758,0.307408824,Injured,Non-injured,"extracellular region,mitochondrion","molecular_function,ATP binding,ATPase activity",biological_process,
Injured / Non-injured,Q8QZT1,Q8QZT1,-1.645050691,1.645050691,5.28E-11,6.69E-10,16,Q8QZT1,Acat1,"Acetyl-CoA acetyltransferase, mitochondrial",THIL_MOUSE,32,-68.02648392,0.319735161,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,mitochondrial matrix,extracellular exosome","acetyl-CoA C-acetyltransferase activity,carbon-carbon lyase activity,ligase activity, forming carbon-carbon bonds,enzyme binding,protein homodimerization activity,metal ion binding,coenzyme binding","liver development,acetyl-CoA biosynthetic process,isoleucine catabolic process,fatty acid beta-oxidation,brain development,response to hormone,response to organic cyclic compound,coenzyme A metabolic process,coenzyme A biosynthetic process,response to starvation,acetyl-CoA catabolic process,ketone body catabolic process,protein homooligomerization,adipose tissue development,metanephric proximal convoluted tubule development,propionyl-CoA biosynthetic process",
Injured / Non-injured,Q91WT9;Q91WT9-2,Q91WT9;Q91WT9-2,-2.188942582,2.188942582,5.16E-11,6.69E-10,16,Q91WT9;Q91WT9-2,Cbs,Cystathionine beta-synthase;Isoform 2 of Cystathionine beta-synthase,CBS_MOUSE,15,-78.06878846,0.219312115,Injured,Non-injured,"nucleus,cytoplasm,cytosol;","cystathionine beta-synthase activity,oxygen binding,enzyme binding,heme binding,pyridoxal phosphate binding,ubiquitin protein ligase binding,identical protein binding,protein homodimerization activity,metal ion binding,nitrite reductase (NO-forming) activity,carbon monoxide binding,nitric oxide binding,modified amino acid binding,S-adenosyl-L-methionine binding;","endochondral ossification,blood vessel remodeling,cysteine biosynthetic process from serine,L-serine metabolic process,superoxide metabolic process,cysteine biosynthetic process via cystathionine,cysteine biosynthetic process,transsulfuration,cerebellum morphogenesis,regulation of cGMP metabolic process,negative regulation of apoptotic process,homocysteine catabolic process,regulation of JUN kinase activity,homocysteine metabolic process,regulation of blood vessel size,response to folic acid,oxidation-reduction process,maternal process involved in female pregnancy,cartilage development involved in endochondral bone morphogenesis,hydrogen sulfide biosynthetic process,cellular response to hypoxia;",
Injured / Non-injured,Q8BWN8,Q8BWN8,-2.292708706,2.292708706,5.51E-11,6.82E-10,16,Q8BWN8,Acot4,Acyl-coenzyme A thioesterase 4,ACOT4_MOUSE,14,-79.59080345,0.204091966,Injured,Non-injured,peroxisome,"succinyl-CoA hydrolase activity,receptor binding,palmitoyl-CoA hydrolase activity,acyl-CoA hydrolase activity,carboxylic ester hydrolase activity,Requires Ontology","very long-chain fatty acid metabolic process,long-chain fatty acid metabolic process,succinyl-CoA metabolic process,acyl-CoA metabolic process,saturated monocarboxylic acid metabolic process,unsaturated monocarboxylic acid metabolic process,dicarboxylic acid metabolic process,dicarboxylic acid catabolic process,short-chain fatty acid metabolic process",
Injured / Non-injured,D3YYE1;D3Z7M9;O35381,D3YYE1;D3Z7M9;O35381,0.837601548,0.837601548,6.04E-11,7.31E-10,16,D3YYE1;D3Z7M9;O35381,Anp32a,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment);Acidic leucine-rich nuclear phosphoprotein 32 family member A;Acidic leucine-rich nuclear phosphoprotein 32 family member A,D3YYE1_MOUSE;D3Z7M9_MOUSE;AN32A_MOUSE,10,78.70766914,1.787076691,Injured,Non-injured,";;nucleus,cytoplasm,endoplasmic reticulum,nuclear matrix,perinuclear region of cytoplasm",";;protein binding,histone binding",";;transcription, DNA-templated,regulation of transcription, DNA-templated,nucleocytoplasmic transport,regulation of apoptotic process,nucleosome assembly,histone exchange",
Injured / Non-injured,A0A087WRE7;Q8R0N6,A0A087WRE7;Q8R0N6,-1.963727446,1.963727446,6.35E-11,7.39E-10,16,A0A087WRE7;Q8R0N6,Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7_MOUSE;HOT_MOUSE,16,-74.36347626,0.256365237,Injured,Non-injured,";mitochondrion,cytosol",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",";molecular hydrogen transport,oxidation-reduction process",
Injured / Non-injured,Q3U422,Q3U422,-1.627590433,1.627590433,6.39E-11,7.39E-10,16,Q3U422,Ndufv3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",Q3U422_MOUSE,11,-67.63717246,0.323628275,Injured,Non-injured,,,,
